id,name,state_before,date_order,amount_total,n_lines
565,S00565,draft,2023-06-13 01:29:27,46000.0,2
572,S00572,draft,2023-06-13 19:57:08,2200.0,1
573,S00573,draft,2023-06-14 00:51:16,700.0,1
585,S00585,draft,2023-06-16 02:36:52,7800.0,2
587,S00587,draft,2023-06-17 04:41:54,285800.0,26
588,S00588,draft,2023-06-17 20:20:33,15000.0,1
589,S00589,draft,2023-06-18 12:00:30,0.0,0
594,S00594,draft,2023-06-21 21:27:11,15000.0,1
596,S00596,draft,2023-06-22 18:28:28,0.0,0
600,S00600,draft,2023-06-23 21:53:25,8900.0,1
610,S00610,draft,2023-06-28 16:18:40,0.0,0
613,S00613,draft,2023-06-29 02:43:59,37400.0,5
623,S00623,draft,2023-07-02 00:49:33,86000.0,6
630,S00630,draft,2023-07-03 17:06:39,9000.0,1
632,S00632,draft,2023-07-04 03:34:04,17000.0,4
637,S00637,draft,2023-07-04 21:16:04,21000.0,2
661,S00661,draft,2023-07-05 03:41:35,54300.0,10
664,S00664,draft,2023-07-06 15:13:11,17600.0,2
665,S00665,draft,2023-07-06 16:12:01,2000.0,1
681,S00681,draft,2023-07-08 20:02:40,53500.0,4
683,S00683,draft,2023-07-09 15:46:55,0.0,0
685,S00685,draft,2023-07-11 00:07:29,16000.0,1
686,S00686,draft,2023-07-11 11:33:57,9000.0,2
687,S00687,draft,2023-07-11 17:38:02,65400.0,3
707,S00707,draft,2023-07-14 01:51:10,0.0,0
708,S00708,draft,2023-07-14 01:51:11,0.0,0
709,S00709,draft,2023-07-14 01:54:07,0.0,0
713,S00713,draft,2023-07-14 19:45:02,68000.0,4
714,S00714,draft,2023-07-15 12:46:41,26800.0,3
715,S00715,draft,2023-07-15 18:50:05,0.0,0
718,S00718,draft,2023-07-16 03:22:13,30000.0,3
721,S00721,draft,2023-07-17 04:39:49,13000.0,2
722,S00722,draft,2023-07-17 16:06:20,6000.0,1
723,S00723,draft,2023-07-17 20:27:18,4500.0,1
726,S00726,draft,2023-07-19 00:34:55,35000.0,1
727,S00727,draft,2023-07-19 00:48:00,15000.0,1
729,S00729,draft,2023-07-19 18:50:47,238000.0,14
734,S00734,draft,2023-07-24 12:34:19,4500.0,1
735,S00735,draft,2023-07-24 23:13:59,0.0,0
740,S00740,draft,2023-07-28 14:14:53,6000.0,1
741,S00741,draft,2023-07-30 21:15:01,0.0,0
747,S00747,draft,2023-07-31 19:53:08,0.0,0
750,S00750,draft,2023-07-31 21:36:16,42400.0,7
751,S00751,draft,2023-08-01 04:29:58,4000.0,1
752,S00752,draft,2023-08-01 13:43:57,17200.0,3
759,S00759,draft,2023-08-02 21:01:34,8000.0,1
763,S00763,draft,2023-08-03 18:27:55,22000.0,1
765,S00765,draft,2023-08-04 14:01:11,45600.0,7
766,S00766,draft,2023-08-04 16:09:47,50700.0,8
767,S00767,draft,2023-08-04 18:51:02,14900.0,1
769,S00769,draft,2023-08-06 06:04:06,15500.0,3
770,S00770,draft,2023-08-06 07:15:40,26000.0,2
781,S00781,draft,2023-08-09 22:08:41,22000.0,1
782,S00782,draft,2023-08-10 00:17:48,15900.0,4
783,S00783,draft,2023-08-10 19:33:19,6000.0,1
785,S00785,draft,2023-08-13 06:53:13,20000.0,1
786,S00786,draft,2023-08-13 23:44:13,38500.0,4
788,S00788,draft,2023-08-15 17:52:29,0.0,0
793,S00793,draft,2023-08-17 03:49:23,11000.0,2
794,S00794,draft,2023-08-19 01:25:57,25500.0,2
795,S00795,draft,2023-08-19 20:19:35,16800.0,1
796,S00796,draft,2023-08-20 08:30:04,17000.0,1
797,S00797,draft,2023-08-20 14:30:14,4500.0,1
805,S00805,draft,2023-08-21 18:01:24,13000.0,1
811,S00811,draft,2023-08-21 23:52:33,0.0,0
825,S00825,draft,2023-08-23 14:24:26,120000.0,1
829,S00829,draft,2023-08-23 19:12:11,159000.0,12
830,S00830,draft,2023-08-24 03:10:25,3000.0,1
831,S00831,draft,2023-08-24 15:11:00,5000.0,1
834,S00834,draft,2023-08-24 18:39:14,3000.0,1
836,S00836,draft,2023-08-25 01:00:06,10000.0,1
843,S00843,draft,2023-08-25 21:49:43,30000.0,3
844,S00844,draft,2023-08-27 00:55:32,61900.0,7
845,S00845,draft,2023-08-27 16:22:25,14000.0,1
851,S00851,draft,2023-08-29 18:01:56,3000.0,1
855,S00855,draft,2023-08-29 21:36:55,16000.0,1
860,S00860,draft,2023-08-31 02:04:31,4700.0,2
866,S00866,draft,2023-08-31 17:42:53,16000.0,3
874,S00874,draft,2023-09-01 02:03:47,5000.0,1
875,S00875,draft,2023-09-01 04:05:47,12000.0,1
876,S00876,draft,2023-09-01 12:53:31,22000.0,1
882,S00882,draft,2023-09-02 03:40:18,13000.0,2
885,S00885,draft,2023-09-03 01:31:33,16000.0,1
886,S00886,draft,2023-09-03 15:52:48,10000.0,1
889,S00889,draft,2023-09-04 08:48:59,12500.0,1
902,S00902,draft,2023-09-05 01:13:10,9000.0,1
905,S00905,draft,2023-09-05 15:58:26,12000.0,1
911,S00911,draft,2023-09-06 03:34:46,0.0,0
912,S00912,draft,2023-09-06 06:10:59,0.0,0
913,S00913,draft,2023-09-06 11:54:41,11500.0,2
930,S00930,draft,2023-09-08 02:30:29,0.0,0
931,S00931,draft,2023-09-08 05:06:28,4800.0,1
932,S00932,draft,2023-09-08 14:41:46,2000.0,1
934,S00934,draft,2023-09-08 18:00:02,2700.0,1
935,S00935,draft,2023-09-08 19:09:25,77000.0,3
936,S00936,draft,2023-09-08 20:21:57,0.0,0
937,S00937,draft,2023-09-09 16:51:45,0.0,0
947,S00947,draft,2023-09-11 21:24:25,0.0,0
950,S00950,draft,2023-09-12 14:51:41,35900.0,1
954,S00954,draft,2023-09-12 17:18:46,11000.0,2
964,S00964,draft,2023-09-13 01:01:11,39200.0,3
966,S00966,draft,2023-09-13 15:08:21,19000.0,2
973,S00973,draft,2023-09-16 12:14:50,9500.0,1
978,S00978,draft,2023-09-17 18:57:54,99000.0,1
979,S00979,draft,2023-09-18 13:26:03,4100.0,1
990,S00990,draft,2023-09-20 02:37:18,4000.0,1
991,S00991,draft,2023-09-20 02:49:10,7000.0,1
992,S00992,draft,2023-09-20 14:52:34,0.0,0
1000,S01000,draft,2023-09-21 04:48:50,2400.0,1
1006,S01006,draft,2023-09-21 19:29:03,129000.0,2
1016,S01016,draft,2023-09-23 02:20:06,15000.0,1
1017,S01017,draft,2023-09-23 05:02:05,6000.0,1
1019,S01019,draft,2023-09-24 13:21:41,12000.0,1
1021,S01021,draft,2023-09-25 15:02:13,96000.0,3
1023,S01023,draft,2023-09-25 17:28:43,5000.0,1
1036,S01036,draft,2023-09-27 01:48:41,31000.0,3
1037,S01037,draft,2023-09-27 02:13:26,53000.0,5
1038,S01038,draft,2023-09-27 03:03:51,4000.0,1
1039,S01039,draft,2023-09-27 16:50:14,0.0,0
1044,S01044,draft,2023-09-27 22:31:42,35000.0,1
1045,S01045,draft,2023-09-28 03:21:39,24000.0,2
1056,S01056,draft,2023-09-29 21:33:23,7400.0,1
1058,S01058,draft,2023-10-01 05:04:48,71000.0,2
1059,S01059,draft,2023-10-02 00:57:31,19000.0,1
1060,S01060,draft,2023-10-02 06:55:19,62000.0,3
1061,S01061,draft,2023-10-02 07:41:49,37000.0,6
1068,S01068,draft,2023-10-02 21:20:10,6500.0,2
1069,S01069,draft,2023-10-02 22:53:10,15000.0,1
1070,S01070,draft,2023-10-03 08:54:04,0.0,0
1079,S01079,draft,2023-10-05 05:10:30,20000.0,1
1080,S01080,draft,2023-10-05 18:29:15,25000.0,1
1083,S01083,draft,2023-10-06 22:54:57,8900.0,1
1093,S01093,draft,2023-10-09 21:38:47,19800.0,4
1095,S01095,draft,2023-10-10 16:05:38,10000.0,1
1097,S01097,draft,2023-10-10 18:44:16,9500.0,1
1100,S01100,draft,2023-10-11 18:16:08,23500.0,5
1102,S01102,draft,2023-10-12 01:28:37,49500.0,7
1112,S01112,draft,2023-10-14 02:56:26,18500.0,4
1113,S01113,draft,2023-10-14 14:41:48,22000.0,1
1114,S01114,draft,2023-10-15 18:42:08,5000.0,1
1115,S01115,draft,2023-10-15 23:04:16,6000.0,1
1116,S01116,draft,2023-10-16 02:25:03,39000.0,2
1117,S01117,draft,2023-10-16 03:45:45,1000.0,1
1124,S01124,draft,2023-10-17 03:43:38,6000.0,2
1125,S01125,draft,2023-10-17 14:59:15,6000.0,1
1126,S01126,draft,2023-10-18 03:01:35,58300.0,7
1127,S01127,draft,2023-10-18 03:15:15,53400.0,4
1132,S01132,draft,2023-10-18 10:48:36,31000.0,1
